Titre,Prénom,Nom,"Date de naissance",Adresse,"Code postal",Ville
Mademoiselle,André,Moreau,1949-03-15,"8 impasse Maréchal Foch",10259,Dijon
Mlle,"Jean Louis",Bernard,1946-09-09,"149 avenue Charles de Gaulle",04340,Saint-Etienne
Mme,"Roger Pierre",Robert-Robert,1979-06-03,"76 impasse Jean Jaurès",06916,Villeurbanne
Mlle,Marcel,Moreau-Michel,2006-01-02,"153 rue Victor Hugo",81900,Toulouse
Mademoiselle,"Catherine Nicole",Girard,1968-07-04,"157 rue Jean Jaurès",52847,Toulon
Mlle,Christian,Lefebvre-David,1926-05-10,"52 avenue Jean Jaurès",80731,Saint-Etienne
Mr,"André Denise Jeanne",Michel-Petit,1950-07-30,"109 rue Léon Gambetta",67302,Saint-Etienne
Mlle,"Pierre Christiane Monique",Moreau,1979-08-16,"157 avenue Louis pasteur",59740,Lille
Mr,"Nathalie Daniel",Laurent,1963-04-18,"7 avenue Léon Gambetta",99310,Nantes
Madame,"Nicolas Isabelle",Robert,1939-11-26,"28 impasse Charles de Gaulle",89982,Montpellier
Mlle,"Louis Nathalie Marcel",Dubois-Michel,2007-08-05,"21 boulevard Léon Gambetta",76805,Grenoble
Mr,Daniel,Michel,1933-07-22,"105 avenue Charles de Gaulle",35541,Nice
Madame,Marcel,Martin,1937-07-19,"32 boulevard Jules Ferry",99749,"Le Havre"
Madame,Paul,Bertrand,1961-07-04,"186 avenue Général Leclerc",72076,Reims
Mlle,"Marcel Henri René",Durand,1953-04-24,"152 avenue Louis pasteur",30959,"Le Havre"
Monsieur,"Alain Louis",Thomas-Fournier,1922-01-06,"23 rue Jean Moulin",25528,Montpellier
Madame,Françoise,David-Fournier,1969-12-21,"65 rue Jules Ferry",70256,Paris
Madame,Bernard,Roux,2006-04-11,"196 impasse Louis pasteur",38862,Bordeaux
Madame,Monique,Roux-Bernard,2014-02-27,"183 boulevard Charles de Gaulle",20150,Bordeaux
Mme,"Monique Louis Pierre",Durand-Roux,1955-08-23,"37 boulevard Léon Gambetta",69121,Nantes
Mlle,"Alain Pierre Catherine",Lefebvre-Michel,1966-01-17,"26 avenue Victor Hugo",10448,Nantes
Mme,"Marguerite Jeanne Nicolas",Petit,1937-10-11,"2 rue Georges Clémenceau",86950,Lyon
Madame,Christiane,Bernard,2020-04-18,"89 impasse Jules Ferry",58361,Nantes
Mademoiselle,Marguerite,Laurent-Richard,1950-10-16,"127 rue Charles de Gaulle",91303,Saint-Etienne
Mme,"Philippe Monique",Richard-Richard,1950-12-01,"12 avenue Général Leclerc",56779,"Le Havre"
Mlle,Catherine,Dubois-Martin,1995-01-20,"173 avenue Général Leclerc",13641,Toulouse
Madame,"Pierre Christian Marie",Martin,1939-02-13,"84 avenue Léon Gambetta",23186,Marseille
Mademoiselle,"Françoise Marguerite André",Laurent-Girard,2016-02-11,"99 impasse Louis pasteur",58044,Bordeaux
Mlle,"Catherine Jacques Michel",Bernard,1967-06-11,"153 rue Jean Jaurès",95780,Bordeaux
Madame,"Denise Louis",Lefebvre-Thomas,1929-09-13,"108 rue Louis pasteur",02441,Rennes
Monsieur,"Madeleine Marguerite Alain",Thomas-Morel,2005-07-15,"73 impasse Georges Clémenceau",19918,Rennes
Madame,"Jeanne Monique",Morel-Thomas,1943-06-05,"55 boulevard Maréchal Foch",92296,Strasbourg
Mme,Philippe,Thomas,2012-07-28,"141 rue Victor Hugo",49601,Montpellier
Mademoiselle,"Bernard Jacques",Lefebvre-Martin,1938-06-25,"107 avenue Louis pasteur",65594,Montpellier
Mme,"Jeanne Paul",Leroy,2013-05-20,"30 avenue Georges Clémenceau",34740,Bordeaux
Mr,"Françoise Marie",Girard,1998-12-04,"185 rue Maréchal Foch",51031,Dijon
Monsieur,Michel,Bernard,1918-03-14,"179 rue Maréchal Foch",51066,Lyon
Mlle,"Nathalie Robert",Laurent,2010-01-07,"193 impasse Louis pasteur",11295,Paris
Madame,"André Suzanne",Martin-Girard,1986-11-23,"59 boulevard Jean Jaurès",54347,Villeurbanne
Mlle,"Françoise Françoise Louis",Roux-Lefebvre,2000-06-10,"69 rue Jean Jaurès",97480,Saint-Etienne
Madame,Louis,Roux,1967-08-05,"160 avenue Général Leclerc",40114,Villeurbanne
Monsieur,Anne,Bernard-Laurent,2019-07-10,"152 avenue Jean Moulin",47926,Grenoble
Madame,Michel,Richard,1982-03-19,"11 avenue Maréchal Foch",59761,Villeurbanne
Madame,"Robert Martine",Dubois,1948-12-01,"122 impasse Léon Gambetta",74399,Saint-Denis
Mr,"Jean Jean",Morel-David,1936-11-21,"68 boulevard Georges Clémenceau",26276,Rennes
Mlle,"Michel Louise Madeleine",Bertrand,1982-04-17,"129 boulevard Jean Moulin",40187,Montpellier
